question_number,correct_option,category,has_image
1,B,Nationalism,no
2,C,Rule of Law,no
3,B,Civil Society,no
4,A,Road Safety,yes
5,B,Road Safety,yes
6,A,Citizenship,no
7,B,Human Rights,no
8,D,Interpersonal Relationships,no
9,A,Cultism,no
10,B,Cultism,no
11,A,Cultism,no
12,C,Road Safety,no
13,D,Civic Education,no
14,C,Civic Education,no
15,D,Civic Education,no
16,A,Political Participation,no
17,A,Civic Education,no
18,A,Political Participation,no
19,B,Civic Education,no
20,B,Human Rights,no
21,C,Civic Education,no
22,B,Civic Education,no
23,C,Civic Education,no
24,C,Civic Education,no
25,C,Civic Education,no
26,D,Political Participation,no
27,C,Political Participation,no
28,B,Civic Education,no
29,D,Human Rights,no
30,D,Responsible Parenthood,yes
31,C,Responsible Parenthood,yes
32,B,Communal Relationships,no
33,C,Road Safety,no
34,D,Civic Education,no
35,B,Rule of Law,no
36,A,Civic Education,no
37,D,Political Participation,no
38,A,Drug Abuse,no
39,D,Drug Abuse,no
40,A,Drug Abuse,no
41,A,Drug Abuse,no
42,D,Drug Abuse,no
43,C,Drug Abuse,no
44,D,Drug Abuse,no
45,D,Youth Empowerment,no
46,B,Communal Relationships,no
47,C,Communal Relationships,no
48,D,Communal Relationships,no
49,D,Youth Empowerment,no
50,A,Political Participation,no
